,Timestamp,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Date
0,2023-06-26 09:32:00-04:00,5.900000095367432,5.900000095367432,5.900000095367432,5.900000095367432,,156.0,0.0,0.0,2023-06-26
1,2023-06-28 11:10:00-04:00,5.78000020980835,5.78000020980835,5.78000020980835,5.78000020980835,,100.0,0.0,0.0,2023-06-28
2,2023-06-28 13:53:00-04:00,5.789999961853027,5.789999961853027,5.789999961853027,5.789999961853027,,125.0,0.0,0.0,2023-06-28
3,2023-06-28 13:55:00-04:00,5.789999961853027,5.789999961853027,5.789999961853027,5.789999961853027,,125.0,0.0,0.0,2023-06-28
4,2023-06-28 13:56:00-04:00,5.760000228881836,5.760000228881836,5.760000228881836,5.760000228881836,,120.0,0.0,0.0,2023-06-28
0,2023-07-03 09:46:00-04:00,5.75,5.75,5.75,5.75,,10000.0,0.0,0.0,2023-07-03
0,2023-07-18 09:30:00-04:00,5.980000019073486,5.980000019073486,5.980000019073486,5.980000019073486,,200.0,0.0,0.0,2023-07-18
